id,name,korean_name,yearpublished,average,rating,weight,usersrated,recommended_players,thumbnail,rank
224517,Brass: Birmingham,브라스: 버밍엄,2018,8.57465,8.40043,3.869,53743.0,2|3|4,https://cf.geekdo-images.com/x3zxjr-Vw5iU4yDPg70Jgw__thumb/img/o18rjEemoWaVru9Y2TyPwuIaRfE=/fit-in/200x150/filters:strip_icc()/pic3490053.jpg,1
161936,Pandemic Legacy: Season 1,팬데믹 레거시: 시즌 1,2015,8.51126,8.35814,2.8296,56119.0,2|3|4,https://cf.geekdo-images.com/-Qer2BBPG7qGGDu6KcVDIw__thumb/img/NQQcjS31TO0DE246N9rpt0hd9eo=/fit-in/200x150/filters:strip_icc()/pic2452831.png,2
342942,Ark Nova,아크 노바,2021,8.53936,8.35106,3.7879,54765.0,1|2|3,https://cf.geekdo-images.com/SoU8p28Sk1s8MSvoM4N8pQ__thumb/img/4KuHNTWSMPf8vTNDKSRMMI3oOv8=/fit-in/200x150/filters:strip_icc()/pic6293412.jpg,3
174430,Gloomhaven,글룸헤이븐,2017,8.55696,8.31881,3.9146,65514.0,1|2|3|4,https://cf.geekdo-images.com/sZYp_3BTDGjh2unaZfZmuA__thumb/img/veqFeP4d_3zNhFc3GNBkV95rBEQ=/fit-in/200x150/filters:strip_icc()/pic2437871.jpg,4
233078,Twilight Imperium: Fourth Edition,여명의 제국,2017,8.57194,8.22604,4.3392,26750.0,3|4|5|6,https://cf.geekdo-images.com/_Ppn5lssO5OaildSE-FgFA__thumb/img/lfEukJE0JsoZZObaF9K9YnFp62E=/fit-in/200x150/filters:strip_icc()/pic3727516.jpg,5
316554,Dune: Imperium,듄: 임페리움,2020,8.41716,8.22375,3.0681,54127.0,1|2|3|4,https://cf.geekdo-images.com/PhjygpWSo-0labGrPBMyyg__thumb/img/JGgY-nBmkyB8WRp8vcoBLlNMQ5U=/fit-in/200x150/filters:strip_icc()/pic5666597.jpg,6
167791,Terraforming Mars,테라포밍 마스,2016,8.34624,8.19713,3.2667,108176.0,1|2|3|4,https://cf.geekdo-images.com/wg9oOLcsKvDesSUdZQ4rxw__thumb/img/BTxqxgYay5tHJfVoJ2NF5g43_gA=/fit-in/200x150/filters:strip_icc()/pic3536616.jpg,7
115746,War of the Ring: Second Edition,반지 전쟁,2011,8.54811,8.19305,4.2243,23764.0,2,https://cf.geekdo-images.com/ImPgGag98W6gpV1KV812aA__thumb/img/X-lBBdG4uO6LT0y1vXxCN4jdR4M=/fit-in/200x150/filters:strip_icc()/pic1215633.jpg,8
187645,Star Wars: Rebellion,스타워즈: 리벨리온,2016,8.41772,8.16948,3.7465,35040.0,2,https://cf.geekdo-images.com/7SrPNGBKg9IIsP4UQpOi8g__thumb/img/gAxzddRVQiRdjZHYFUZ2xc5Jlbw=/fit-in/200x150/filters:strip_icc()/pic4325841.jpg,9
397598,Dune: Imperium – Uprising,듄 임페리움: 봉기,2023,8.70834,8.16016,3.5067,13643.0,1|2|3|4|6,https://cf.geekdo-images.com/UVUkjMV_Q2paVUIUP30Vvw__thumb/img/H6qmxJrRFjtOAPZOfDoZ480-46I=/fit-in/200x150/filters:strip_icc()/pic7664424.jpg,10
